N,Triton (GB/s),Torch (GB/s)
1024.000000,261.446801,261.446801
1536.000000,312.158780,242.526327
2048.000000,334.367350,220.412561
2560.000000,349.090906,224.233584
3072.000000,357.902918,211.624519
3584.000000,366.025533,210.308068
4096.000000,376.058353,211.292857
4608.000000,383.999986,209.058596
5120.000000,390.095223,204.459242
5632.000000,392.930233,202.044852
6144.000000,397.455524,195.824709
6656.000000,399.360010,205.326482
7168.000000,402.885254,200.503493
7680.000000,405.991195,201.490796
8192.000000,407.213985,199.804870
8704.000000,416.127506,200.091948
9216.000000,416.542352,194.532974
9728.000000,417.660102,191.399909
10240.000000,417.382453,191.925025
10752.000000,420.273603,192.000002
11264.000000,419.939428,186.678007
11776.000000,420.904185,186.181814
12288.000000,422.510018,183.844232
12800.000000,423.140497,185.717525
13312.000000,422.393639,180.950558
13824.000000,422.644596,184.525033
14336.000000,422.164429,182.430537
14848.000000,423.724137,180.705872
15360.000000,423.237660,176.509451
15872.000000,423.996794,178.251017
